UF;FATURA;DOCUMENTO;LOCAL;MEIO;C;S;LOCAL-ORIG;FONE-ORIG;CJ-ORIG;SU-ORIG;PAG;LINHA;LOCAL-DEST;LOCAL-DEST;DDD-DEST;FONE-DEST;HORA;COD;DESC-RESU-COD;VALOR;DURACAO;DEGRAU;GRUPO-HOR;PULSOS;CONCESSIONARIA;PERC-ICMS;PERC-IMPOSTO;COD-EMPRESA;PROD;BLQ-PRESTADORA;NOTA-FISCAL;SERIE-NF;BLOCO;DT-SERVICO;VLR-SERVICO-ICMS;VLR-IMPOSTO;DT-VENC;DT-RECEB;DT-FATURA;DT-COBRANCA;DT-NOVO-VENC;DT-CAIXA;DT-CONTA;CLIENTE;NRC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RN;1,00E+12;4,90E+11;18500;2012310;0;1;3222;32722470;0;9;1;12;COD AREA 84    ;38193;84;999920140;18:15:11;60727;VC1 MESM.AR.TAR.BD A TIM      ;0,2;000:00:42;0;2;0;0;30;30;OI S.A.                  ;70;1;112295;B;LIGACOES LOCAIS PARA CELULAR              ;20210831;0,06;0,06;20211101;0;20211001;0;20211101;0;202109;MINISTERIO;1,00E+12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RN;1,00E+12;4,90E+11;18500;2012310;0;1;3222;32722470;0;9;1;13;COD AREA 84    ;38193;84;999686739;18:18:11;60736;VC1 MESM.AR.TAR.BD A VIVO     ;0,14;000:00:30;0;2;0;0;30;30;OI S.A.                  ;70;1;112295;B;LIGACOES LOCAIS PARA CELULAR              ;20210831;0,042;0,042;20211101;0;20211001;0;20211101;0;202109;MINISTERIO;1,00E+12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RN;1,00E+12;4,90E+11;18500;2012310;0;1;3222;32722470;0;9;1;14;COD AREA 81    ;38190;81;987964551;07:41:40;68331;VC2 NORMAL - OFF NET          ;1,4;000:01:36;0;2;0;31;30;30;OI S.A.                  ;190;1;112295;B;LIG. LONGA DISTANCIA NACIONAL PARA CELULAR;20210920;0,42;0,42;20211101;0;20211001;0;20211101;0;202109;MINISTERIO;1,00E+12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RN;1,00E+12;4,90E+11;18500;2012310;0;1;3222;32724337;0;4;1;15;               ;0;0;0;00:00:00;10538;ASSINATURA BASICA N/RES       ;99,37;000:00:00;0;0;0;0;30;30;OI S.A.                  ;10;1;112295;B;SERVICOS MENSAIS                          ;20210924;29,811;29,811;20211101;0;20211001;0;20211101;0;202109;MINISTERIO;1,00E+12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RN;1,00E+12;4,90E+11;18500;2012310;0;1;3222;32724337;0;4;1;17;               ;0;0;0;00:00:00;60057;CHAM.LC BILHETADA AGLUTINADO  ;0;000:00:00;0;0;0;0;30;30;OI S.A.                  ;50;1;112295;B;LIGACOES LOCAIS                           ;20210924;0;0;20211101;0;20211001;0;20211101;0;202109;MINISTERIO;1,00E+12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RN;1,00E+12;4,90E+11;18500;2012310;0;1;3222;32724860;0;6;1;20;               ;0;0;0;00:00:00;60057;CHAM.LC BILHETADA AGLUTINADO  ;0;000:00:00;0;0;0;0;30;30;OI S.A.                  ;50;1;112295;B;LIGACOES LOCAIS                           ;20210924;0;0;20211101;0;20211001;0;20211101;0;202109;MINISTERIO;1,00E+12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RN;1,00E+12;4,90E+11;18500;2012310;0;1;3222;32725372;0;5;1;23;               ;0;0;0;00:00:00;60057;CHAM.LC BILHETADA AGLUTINADO  ;0;000:00:00;0;0;0;0;30;30;OI S.A.                  ;50;1;112295;B;LIGACOES LOCAIS                           ;20210924;0;0;20211101;0;20211001;0;20211101;0;202109;MINISTERIO;1,00E+12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RN;1,00E+12;4,90E+11;18500;2012310;0;1;3222;32725372;0;5;1;24;COD AREA 84    ;38193;84;996969777;14:50:08;60727;VC1 MESM.AR.TAR.BD A TIM      ;118;000:00:36;0;2;0;0;30;30;OI S.A.                  ;70;1;112295;B;LIGACOES LOCAIS PARA CELULAR              ;20210920;0,051;0,051;20211101;0;20211001;0;20211101;0;202109;MINISTERIO;1,00E+12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RN;1,00E+12;4,90E+11;18500;2012310;0;1;3222;32725372;0;5;1;25;COD AREA 84    ;38193;84;996969777;16:00:42;60727;VC1 MESM.AR.TAR.BD A TIM      ;43,87;000:00:30;0;2;0;0;30;30;OI S.A.                  ;70;1;112295;B;LIGACOES LOCAIS PARA CELULAR              ;20210920;0,042;0,042;20211101;0;20211001;0;20211101;0;202109;MINISTERIO;1,00E+12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RN;1,00E+12;4,90E+11;18500;2012310;0;1;3222;32725372;0;5;1;26;COD AREA 84    ;38193;84;996969777;16:18:27;60727;VC1 MESM.AR.TAR.BD A TIM      ;89,89;000:00:48;0;2;0;0;30;30;OI S.A.                  ;70;1;112295;B;LIGACOES LOCAIS PARA CELULAR              ;20210920;0,069;0,069;20211101;0;20211001;0;20211101;0;202109;MINISTERIO;1,00E+12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
